Entity,Year,Code,Male (males suffering from depression),Female (females suffering from depression),Male Population,Female Population,Percentage of Male Suffering from Depression,Percentage of Female Suffering from Depression
Egypt,2010,EGY,899308.4828,1515039.115,42465970,41641633,2.12%,3.64%
Egypt,2011,EGY,930186.7162,1547560.432,43382700,42514861,2.14%,3.64%
Egypt,2012,EGY,956731.3713,1577461.585,44363445,43449815,2.16%,3.63%
Egypt,2013,EGY,990545.117,1607565.706,45383445,44423983,2.18%,3.62%
Egypt,2014,EGY,1017619.119,1639820.982,46407403,45405153,2.19%,3.61%
Egypt,2015,EGY,1052739.641,1673995.455,47408942,46369234,2.22%,3.61%
Egypt,2016,EGY,1084071.309,1706246.878,48379866,47308816,2.24%,3.61%
El Salvador,1990,SLV,51250.1968,88877.80955,2564896,2690090,2.00%,3.30%
El Salvador,1991,SLV,52299.31136,91190.64931,2597547,2729121,2.01%,3.34%
El Salvador,1992,SLV,53356.23664,93179.65539,2630990,2769329,2.03%,3.36%
El Salvador,1993,SLV,54468.68491,95464.23261,2664201,2809799,2.04%,3.40%
El Salvador,1994,SLV,55384.12211,97647.7386,2695769,2849170,2.05%,3.43%
El Salvador,1995,SLV,56248.73201,99467.8897,2724643,2886476,2.06%,3.45%
El Salvador,1996,SLV,56868.7329,100617.3878,2750520,2921416,2.07%,3.44%
El Salvador,1997,SLV,57405.48022,101388.2684,2773591,2954169,2.07%,3.43%
El Salvador,1998,SLV,57811.2225,102364.3089,2793943,2984764,2.07%,3.43%
El Salvador,1999,SLV,58305.44667,103433.0358,2811812,3013386,2.07%,3.43%
El Salvador,2000,SLV,58679.32804,104123.7667,2827449,3040182,2.08%,3.42%
El Salvador,2001,SLV,59109.2226,104875.0215,2840833,3065125,2.08%,3.42%
El Salvador,2002,SLV,59830.58982,105538.9626,2852066,3088241,2.10%,3.42%
El Salvador,2003,SLV,60087.16815,106396.7345,2861632,3109895,2.10%,3.42%
El Salvador,2004,SLV,60561.75225,107082.0594,2870223,3130556,2.11%,3.42%
El Salvador,2005,SLV,61017.72919,107700.0817,2878346,3150607,2.12%,3.42%
El Salvador,2006,SLV,61654.03988,108804.0514,2886273,3170206,2.14%,3.43%
El Salvador,2007,SLV,62406.13802,109806.335,2894059,3189422,2.16%,3.44%
El Salvador,2008,SLV,62933.14305,110840.9997,2901921,3208391,2.17%,3.45%
El Salvador,2009,SLV,63480.36943,111782.2758,2910033,3227241,2.18%,3.46%
El Salvador,2010,SLV,64132.89858,112964.7879,2918538,3246088,2.20%,3.48%
El Salvador,2011,SLV,64790.76235,114224.1087,2927558,3265000,2.21%,3.50%
El Salvador,2012,SLV,65407.05112,115528.9545,2937188,3284056,2.23%,3.52%
El Salvador,2013,SLV,66139.47868,116703.8194,2947470,3303303,2.24%,3.53%
El Salvador,2014,SLV,66836.99921,117954.4621,2958408,3322779,2.26%,3.55%
El Salvador,2015,SLV,67555.83596,119075.8497,2969971,3342508,2.27%,3.56%
El Salvador,2016,SLV,68242.09925,120230.5932,2982220,3362500,2.29%,3.58%
England,1990,NA,858424.9704,1332352.511,NA,NA,NA,NA
England,1991,NA,860100.2833,1331046.616,NA,NA,NA,NA
England,1992,NA,862044.8884,1329844.704,NA,NA,NA,NA
England,1993,NA,863800.1441,1328322.05,NA,NA,NA,NA
England,1994,NA,866190.6232,1327692.338,NA,NA,NA,NA
England,1995,NA,870911.5446,1328130.765,NA,NA,NA,NA
England,1996,NA,873430.0059,1330858.012,NA,NA,NA,NA
England,1997,NA,876772.3625,1334662.843,NA,NA,NA,NA
England,1998,NA,880279.0979,1338786.429,NA,NA,NA,NA
England,1999,NA,885055.4625,1344028.597,NA,NA,NA,NA
England,2000,NA,892113.9265,1351456.849,NA,NA,NA,NA
England,2001,NA,888625.4031,1347067.934,NA,NA,NA,NA
England,2002,NA,885485.3464,1342721.035,NA,NA,NA,NA
England,2003,NA,882078.8318,1338581.573,NA,NA,NA,NA
England,2004,NA,879479.456,1335781.713,NA,NA,NA,NA
England,2005,NA,879229.2189,1335970.814,NA,NA,NA,NA
England,2006,NA,886533.8699,1349985.289,NA,NA,NA,NA
England,2007,NA,892653.3073,1363052.095,NA,NA,NA,NA
England,2008,NA,899818.8564,1376411.687,NA,NA,NA,NA
England,2009,NA,906511.9537,1389480.507,NA,NA,NA,NA
England,2010,NA,914573.563,1404068.831,NA,NA,NA,NA
England,2011,NA,921764.7094,1415894.157,NA,NA,NA,NA
England,2012,NA,928341.9145,1427573.523,NA,NA,NA,NA
England,2013,NA,934904.4126,1438654.605,NA,NA,NA,NA
England,2014,NA,943596.0788,1452286.425,NA,NA,NA,NA
England,2015,NA,952552.1505,1466911.89,NA,NA,NA,NA
England,2016,NA,962513.903,1482025.322,NA,NA,NA,NA
Equatorial Guinea,1990,GNQ,6778.353756,7558.609974,211535,215318,3.20%,3.51%
Equatorial Guinea,1991,GNQ,6916.664998,7704.185093,218939,221689,3.16%,3.48%
Equatorial Guinea,1992,GNQ,7079.155256,7900.591533,226966,228183,3.12%,3.46%
Equatorial Guinea,1993,GNQ,7265.38285,8102.213925,235675,234938,3.08%,3.45%
Equatorial Guinea,1994,GNQ,7472.986057,8346.420368,245072,242071,3.05%,3.45%
Equatorial Guinea,1995,GNQ,7692.052755,8603.247557,255198,249682,3.01%,3.45%
Equatorial Guinea,1996,GNQ,7885.792263,8830.740826,266135,257869,2.96%,3.42%
Equatorial Guinea,1997,GNQ,8072.838983,9067.337447,277956,266674,2.90%,3.40%
Equatorial Guinea,1998,GNQ,8288.718679,9354.314125,290618,276053,2.85%,3.39%
Equatorial Guinea,1999,GNQ,8536.322964,9644.109828,304006,285930,2.81%,3.37%
Equatorial Guinea,2000,GNQ,8832.441884,9992.222101,318062,296261,2.78%,3.37%
Equatorial Guinea,2001,GNQ,9105.998934,10290.90271,332737,307028,2.74%,3.35%
Equatorial Guinea,2002,GNQ,9424.435614,10677.15686,348126,318289,2.71%,3.35%
Equatorial Guinea,2003,GNQ,9756.491944,11064.55353,364461,330153,2.68%,3.35%
Equatorial Guinea,2004,GNQ,10111.31004,11453.7609,382075,342735,2.65%,3.34%
Equatorial Guinea,2005,GNQ,10469.72561,11894.97651,401184,356143,2.61%,3.34%
Equatorial Guinea,2006,GNQ,10808.39179,12326.67348,421843,370370,2.56%,3.33%
Equatorial Guinea,2007,GNQ,11139.86524,12748.67918,443924,385407,2.51%,3.31%
Equatorial Guinea,2008,GNQ,11488.84852,13213.98549,467242,401173,2.46%,3.29%
Equatorial Guinea,2009,GNQ,11874.09461,13675.45144,491506,417606,2.42%,3.27%
Equatorial Guinea,2010,GNQ,12251.81093,14197.37856,516479,434623,2.37%,3.27%
Equatorial Guinea,2011,GNQ,12605.24176,14596.51618,542082,452203,2.33%,3.23%
Equatorial Guinea,2012,GNQ,13027.45384,15101.47621,568264,470327,2.29%,3.21%
Equatorial Guinea,2013,GNQ,13448.48762,15590.3903,594840,488898,2.26%,3.19%
Equatorial Guinea,2014,GNQ,13891.05702,16076.51799,621608,507813,2.23%,3.17%
Equatorial Guinea,2015,GNQ,14338.81226,16591.41244,648404,526976,2.21%,3.15%
Equatorial Guinea,2016,GNQ,14784.52886,17136.19911,675141,546354,2.19%,3.14%
Eritrea,1990,ERI,37291.23391,51607.69211,1556853,1556459,2.40%,3.32%
Eritrea,1991,ERI,37127.55978,51475.48753,1563796,1563495,2.37%,3.29%
Eritrea,1992,ERI,36910.78067,51156.93941,1559238,1559346,2.37%,3.28%
Eritrea,1993,ERI,36563.66917,50713.17141,1549206,1549846,2.36%,3.27%
Eritrea,1994,ERI,36358.46443,50495.95018,1542148,1543300,2.36%,3.27%
Eritrea,1995,ERI,36301.52713,50596.1913,1544364,1545799,2.35%,3.27%
Eritrea,1996,ERI,36918.87854,51462.73078,1557462,1558922,2.37%,3.30%
Eritrea,1997,ERI,37949.52012,52875.77831,1580044,1581313,2.40%,3.34%
Eritrea,1998,ERI,39124.34528,54447.36087,1611645,1612573,2.43%,3.38%
Eritrea,1999,ERI,40570.01139,56345.24586,1650852,1651406,2.46%,3.41%
Eritrea,2000,ERI,42111.79394,58437.32252,1696287,1696519,2.48%,3.44%
Eritrea,2001,ERI,43971.15907,60835.60214,1748563,1748559,2.51%,3.48%
Eritrea,2002,ERI,46058.6957,63478.95438,1807428,1807215,2.55%,3.51%
Eritrea,2003,ERI,48145.79202,66236.41087,1869344,1868924,2.58%,3.54%
Eritrea,2004,ERI,50174.64326,68838.60052,1929648,1928977,2.60%,3.57%
Eritrea,2005,ERI,52209.98542,71370.60941,1985025,1983985,2.63%,3.60%
Eritrea,2006,ERI,53547.84305,73099.60154,2034079,2032569,2.63%,3.60%
Eritrea,2007,ERI,54640.77966,74483.7672,2077702,2075634,2.63%,3.59%
Eritrea,2008,ERI,55804.58039,75953.42412,2117676,2114968,2.64%,3.59%
Eritrea,2009,ERI,56839.29202,77223.83928,2156873,2153453,2.64%,3.59%
Eritrea,2010,ERI,58006.79131,78778.14609,2197503,2193336,2.64%,3.59%
Eritrea,2011,ERI,59395.48949,80305.5033,2239826,2234869,2.65%,3.59%
Eritrea,2012,ERI,60506.22966,82049.6834,2283382,2277592,2.65%,3.60%
Eritrea,2013,ERI,62093.51855,83986.72788,2328832,2322162,2.67%,3.62%
Eritrea,2014,ERI,63683.80911,86096.26371,2376834,2369214,2.68%,3.63%
Eritrea,2015,ERI,65481.91116,88164.41464,2427799,2419187,2.70%,3.64%
Eritrea,2016,ERI,67561.32632,90922.75863,2482161,2472482,2.72%,3.68%
Estonia,1990,EST,24498.11304,55527.97602,731960,833283,3.35%,6.66%
Estonia,1991,EST,24547.3712,55388.58431,723046,825172,3.39%,6.71%
Estonia,1992,EST,24293.72381,54816.24462,708549,812260,3.43%,6.75%
Estonia,1993,EST,23862.44798,54058.02555,691285,796774,3.45%,6.78%
Estonia,1994,EST,23592.04567,53478.18154,675232,781858,3.49%,6.84%
Estonia,1995,EST,23383.7274,52956.0049,663234,769792,3.53%,6.88%
Estonia,1996,EST,23171.63591,52736.14288,656367,761374,3.53%,6.93%
Estonia,1997,EST,23058.50514,52513.61399,653722,755957,3.53%,6.95%
Estonia,1998,EST,23067.35838,52525.42396,653719,752631,3.53%,6.98%
Estonia,1999,EST,23108.10152,52695.50912,653926,749858,3.53%,7.03%
Estonia,2000,EST,23156.29682,52836.35527,652559,746552,3.55%,7.08%
Estonia,2001,EST,23125.33467,51959.19994,649228,742511,3.56%,7.00%
Estonia,2002,EST,23155.84569,51269.6529,644577,738162,3.59%,6.95%
Estonia,2003,EST,23215.60446,50389.39765,639222,733683,3.63%,6.87%
Estonia,2004,EST,23111.73501,49656.37447,634123,729446,3.64%,6.81%
Estonia,2005,EST,23115.99089,48877.33322,629986,725664,3.67%,6.74%
Estonia,2006,EST,22823.5432,48267.91289,626913,722378,3.64%,6.68%
Estonia,2007,EST,22558.09625,47634.82618,624634,719430,3.61%,6.62%
Estonia,2008,EST,22319.76716,47050.41452,622980,716746,3.58%,6.56%
Estonia,2009,EST,22051.66468,46474.7882,621616,714213,3.55%,6.51%
Estonia,2010,EST,21899.99955,45878.97193,620356,711747,3.53%,6.45%
Estonia,2011,EST,21795.74646,45458.04268,619132,709313,3.52%,6.41%
Estonia,2012,EST,21725.55638,45078.17525,618006,706924,3.52%,6.38%
Estonia,2013,EST,21660.59905,44665.53462,616987,704579,3.51%,6.34%
Estonia,2014,EST,21686.22306,44533.37891,616037,702317,3.52%,6.34%
Estonia,2015,EST,21719.10037,44295.44689,615189,700141,3.53%,6.33%
Estonia,2016,EST,21754.81965,44188.41049,614399,698052,3.54%,6.33%
Ethiopia,1990,ETH,670192.4016,814644.468,23981106,24105413,2.79%,3.38%
Ethiopia,1991,ETH,687353.7258,840214.789,24847866,24973213,2.77%,3.36%
Ethiopia,1992,ETH,710253.9217,871191.986,25757750,25890020,2.76%,3.36%
Ethiopia,1993,ETH,733312.8591,903561.9495,26694997,26837962,2.75%,3.37%
Ethiopia,1994,ETH,754802.8016,935412.1472,27638439,27792692,2.73%,3.37%
Ethiopia,1995,ETH,780140.1496,971139.9122,28573061,28736825,2.73%,3.38%
Ethiopia,1996,ETH,798525.9319,992164.1462,29492075,29663069,2.71%,3.34%
Ethiopia,1997,ETH,815943.1999,1014969.679,30399969,30576479,2.68%,3.32%
Ethiopia,1998,ETH,833222.7112,1038001.01,31306898,31487247,2.66%,3.30%
Ethiopia,1999,ETH,852187.1652,1061777.621,32228642,32411411,2.64%,3.28%
Ethiopia,2000,ETH,874664.2205,1088163.581,33176663,33360677,2.64%,3.26%
Ethiopia,2001,ETH,894001.0074,1114609.506,34154188,34338064,2.62%,3.25%
Ethiopia,2002,ETH,917172.1359,1145167.934,35157461,35339727,2.61%,3.24%
Ethiopia,2003,ETH,941922.4946,1178552.333,36182719,36362429,2.60%,3.24%
Ethiopia,2004,ETH,970266.7243,1212150.26,37223726,37400673,2.61%,3.24%
Ethiopia,2005,ETH,997074.4689,1248651.446,38276287,38450795,2.60%,3.25%
Ethiopia,2006,ETH,1026796.988,1280279.792,39339035,39511658,2.61%,3.24%
Ethiopia,2007,ETH,1056061.83,1313452.806,40414623,40585781,2.61%,3.24%
Ethiopia,2008,ETH,1089536.564,1348316.213,41507506,41677383,2.62%,3.24%
Ethiopia,2009,ETH,1124338.955,1386689.781,42623935,42792313,2.64%,3.24%
Ethiopia,2010,ETH,1161068.26,1427739.409,43768157,43934519,2.65%,3.25%
Ethiopia,2011,ETH,1198150.858,1474458.423,44941469,45105285,2.67%,3.27%
Ethiopia,2012,ETH,1237219.894,1524994.747,46141648,46302530,2.68%,3.29%
Ethiopia,2013,ETH,1274940.888,1575444.523,47365012,47522716,2.69%,3.32%
Ethiopia,2014,ETH,1315247.688,1628446.624,48606163,48760602,2.71%,3.34%
Ethiopia,2015,ETH,1358949.213,1682664.929,49860882,50012145,2.73%,3.36%
Ethiopia,2016,ETH,1402765.377,1742815.628,51127476,51275724,2.74%,3.40%
Fiji,1990,FJI,7734.38375,10387.80969,370082,358545,2.09%,2.90%
Fiji,1991,FJI,7863.481113,10557.57926,373676,361786,2.10%,2.92%
Fiji,1992,FJI,8067.194744,10819.27987,378369,366166,2.13%,2.95%
Fiji,1993,FJI,8257.895979,11065.41343,383741,371280,2.15%,2.98%
Fiji,1994,FJI,8472.880642,11340.93258,389151,376515,2.18%,3.01%
Fiji,1995,FJI,8689.806891,11647.01293,394115,381375,2.20%,3.05%
Fiji,1996,FJI,8823.050377,11835.77812,398602,385877,2.21%,3.07%
Fiji,1997,FJI,8969.045863,12087.3884,402747,390113,2.23%,3.10%
Fiji,1998,FJI,9144.605619,12302.30911,406422,393884,2.25%,3.12%
Fiji,1999,FJI,9264.046095,12532.67684,409537,396959,2.26%,3.16%
Fiji,2000,FJI,9412.02668,12715.23267,412022,399206,2.28%,3.19%
Fiji,2001,FJI,9611.804422,12969.53131,413758,400462,2.32%,3.24%
Fiji,2002,FJI,9817.987851,13186.73674,414834,400853,2.37%,3.29%
Fiji,2003,FJI,10000.59616,13392.5718,415701,400925,2.41%,3.34%
Fiji,2004,FJI,10212.22312,13620.78737,416967,401393,2.45%,3.39%
Fiji,2005,FJI,10445.67692,13884.25381,419049,402775,2.49%,3.45%
Fiji,2006,FJI,10592.11518,14018.58216,422141,405262,2.51%,3.46%
Fiji,2007,FJI,10758.13691,14187.41901,426096,408711,2.52%,3.47%
Fiji,2008,FJI,10940.47958,14418.93558,430542,412790,2.54%,3.49%
Fiji,2009,FJI,11145.22088,14627.61608,434945,417024,2.56%,3.51%
Fiji,2010,FJI,11345.72251,14880.43339,438922,421032,2.58%,3.53%
Fiji,2011,FJI,11437.92821,15065.76341,442353,424734,2.59%,3.55%
Fiji,2012,FJI,11530.08291,15246.93817,445365,428230,2.59%,3.56%
Fiji,2013,FJI,11623.96883,15455.77454,448103,431612,2.59%,3.58%
Fiji,2014,FJI,11737.75454,15639.36508,450801,435004,2.60%,3.60%
Fiji,2015,FJI,11833.02911,15823.03495,453628,438516,2.61%,3.61%
Fiji,2016,FJI,11920.03716,16033.52053,456612,442154,2.61%,3.63%
Finland,1990,FIN,110807.6693,180763.2581,2424637,2571583,4.57%,7.03%
Finland,1991,FIN,111436.2122,181754.2131,2437303,2581831,4.57%,7.04%
Finland,1992,FIN,112130.4019,183011.4407,2451524,2593404,4.57%,7.06%
Finland,1993,FIN,112878.9081,184152.3783,2466348,2605434,4.58%,7.07%
Finland,1994,FIN,113718.0138,184865.9514,2480375,2616715,4.58%,7.06%
Finland,1995,FIN,114033.3794,186024.6348,2492626,2626386,4.57%,7.08%
Finland,1996,FIN,113639.2211,185801.6622,2502804,2634180,4.54%,7.05%
Finland,1997,FIN,113180.4494,185922.8446,2511284,2640456,4.51%,7.04%
Finland,1998,FIN,112877.1725,185937.7815,2518578,2645658,4.48%,7.03%
Finland,1999,FIN,112449.3675,185778.2193,2525471,2650450,4.45%,7.01%
Finland,2000,FIN,112185.7888,185903.6125,2532578,2655375,4.43%,7.00%
Finland,2001,FIN,110993.2459,185037.0957,2539989,2660492,4.37%,6.95%
Finland,2002,FIN,110013.2018,184405.8161,2547619,2665757,4.32%,6.92%
Finland,2003,FIN,108997.7511,183601.7539,2555698,2671417,4.26%,6.87%
Finland,2004,FIN,107737.0718,182939.868,2564440,2677747,4.20%,6.83%
Finland,2005,FIN,107032.5087,182474.3577,2574006,2684927,4.16%,6.80%
Finland,2006,FIN,107210.6458,183262.4246,2584499,2693065,4.15%,6.80%
Finland,2007,FIN,107403.6475,183965.3326,2595904,2702114,4.14%,6.81%
Finland,2008,FIN,107610.7232,185035.3941,2608018,2711881,4.13%,6.82%
Finland,2009,FIN,107922.1774,185729.0768,2620567,2722074,4.12%,6.82%
Finland,2010,FIN,108148.2438,186575.8732,2633331,2732453,4.11%,6.83%
Finland,2011,FIN,107672.9197,186269.8611,2646249,2742992,4.07%,6.79%
Finland,2012,FIN,107397.8932,186192.4689,2659316,2753662,4.04%,6.76%
Finland,2013,FIN,106932.4109,186500.9055,2672374,2764243,4.00%,6.75%
Finland,2014,FIN,106659.9404,186161.284,2685260,2774456,3.97%,6.71%
Finland,2015,FIN,106211.0127,185890.6549,2697840,2784128,3.94%,6.68%
Finland,2016,FIN,106030.8771,186293.8747,2710012,2793119,3.91%,6.67%
France,1990,FRA,901851.1966,1842237.857,27969140,28991697,3.22%,6.35%
France,1991,FRA,902395.0394,1835151.708,28093502,29144206,3.21%,6.30%
France,1992,FRA,904700.4348,1827881.235,28207644,29289327,3.21%,6.24%
France,1993,FRA,906051.3952,1817036.91,28316197,29428623,3.20%,6.17%
France,1994,FRA,905480.6129,1810315.361,28425991,29564669,3.19%,6.12%
France,1995,FRA,906425.8983,1801563.311,28542151,29699639,3.18%,6.07%
France,1996,FRA,908077.3196,1804639.977,28665960,29833722,3.17%,6.05%
France,1997,FRA,905903.7394,1808184.065,28796342,29967053,3.15%,6.03%
France,1998,FRA,908058.8307,1814717.44,28933223,30101698,3.14%,6.03%
France,1999,FRA,910787.5153,1822946.556,29075889,30240206,3.13%,6.03%
France,2000,FRA,913010.6057,1830892.086,29223775,30384429,3.12%,6.03%
France,2001,FRA,916345.9253,1825899.492,29376649,30534604,3.12%,5.98%
France,2002,FRA,919778.0436,1820504.812,29534690,30690384,3.11%,5.93%
France,2003,FRA,922289.1688,1811824.192,29697961,30852137,3.11%,5.87%
France,2004,FRA,925953.9554,1807951.023,29866517,31020085,3.10%,5.83%
France,2005,FRA,928489.0337,1805147.388,30040031,31193877,3.09%,5.79%
France,2006,FRA,942776.508,1839986.437,30218738,31374145,3.12%,5.86%
France,2007,FRA,956476.0515,1873218.159,30401389,31559564,3.15%,5.94%
France,2008,FRA,968280.2346,1907044.094,30584326,31745237,3.17%,6.01%
France,2009,FRA,985108.4756,1945218.774,30762786,31924738,3.20%,6.09%
France,2010,FRA,997663.5257,1980224.909,30933311,32093432,3.23%,6.17%
France,2011,FRA,1001041.703,1980825.628,31094243,32249333,3.22%,6.14%
France,2012,FRA,1004726.05,1975529.192,31246321,32393559,3.22%,6.10%
France,2013,FRA,1010369.259,1975985.562,31391471,32528439,3.22%,6.07%
France,2014,FRA,1015924.427,1971697.845,31532863,32657780,3.22%,6.04%
France,2015,FRA,1020789.773,1974190.957,31672756,32784443,3.22%,6.02%
France,2016,FRA,1029136.812,1977171.77,31811651,32909038,3.24%,6.01%
Gabon,1990,GAB,15634.92693,19408.51975,466384,485830,3.35%,3.99%
Gabon,1991,GAB,16012.93907,19855.00712,479542,498681,3.34%,3.98%
Gabon,1992,GAB,16457.64835,20374.00925,492908,511767,3.34%,3.98%
Gabon,1993,GAB,16898.48986,20869.34831,506499,525004,3.34%,3.98%
Gabon,1994,GAB,17389.72759,21397.5415,520341,538321,3.34%,3.97%
Gabon,1995,GAB,17913.24229,22008.40169,534453,551683,3.35%,3.99%
Gabon,1996,GAB,18363.70372,22575.49901,548920,565068,3.35%,4.00%
Gabon,1997,GAB,18922.09395,23130.30976,563776,578558,3.36%,4.00%
Gabon,1998,GAB,19435.8058,23750.14621,579018,592204,3.36%,4.01%
Gabon,1999,GAB,19984.00373,24374.61534,594641,606133,3.36%,4.02%
Gabon,2000,GAB,20615.59712,25076.48223,610669,620443,3.38%,4.04%
Gabon,2001,GAB,21129.14917,25579.25053,627060,635204,3.37%,4.03%
Gabon,2002,GAB,21679.21692,26189.78787,643952,650460,3.37%,4.03%
Gabon,2003,GAB,22284.2194,26800.29299,661827,666328,3.37%,4.02%
Gabon,2004,GAB,22899.93283,27354.5821,681272,682934,3.36%,4.01%
Gabon,2005,GAB,23565.98235,28036.49763,702725,700401,3.35%,4.00%
Gabon,2006,GAB,24174.62497,28529.22357,726202,718642,3.33%,3.97%
Gabon,2007,GAB,24764.5057,29044.40856,751517,737673,3.30%,3.94%
Gabon,2008,GAB,25457.98642,29575.42503,778554,757853,3.27%,3.90%
Gabon,2009,GAB,26106.03914,30106.36761,807115,779643,3.23%,3.86%
Gabon,2010,GAB,26809.99488,30720.56358,836931,803282,3.20%,3.82%
Gabon,2011,GAB,27402.1824,31341.76578,868117,828979,3.16%,3.78%
Gabon,2012,GAB,28117.97966,31989.04193,900385,856432,3.12%,3.74%
Gabon,2013,GAB,28720.61727,32649.92877,932643,884630,3.08%,3.69%
Gabon,2014,GAB,29444.6918,33317.41208,963465,912252,3.06%,3.65%
Gabon,2015,GAB,30132.86444,34113.30496,991862,938316,3.04%,3.64%
Gabon,2016,GAB,30869.17679,34852.87542,1017341,962446,3.03%,3.62%
Gambia,1990,GMB,9233.399134,18963.97987,461577,455236,2.00%,4.17%
Gambia,1991,GMB,9491.671816,19615.88132,477917,471577,1.99%,4.16%
Gambia,1992,GMB,9737.38548,20262.42704,492624,487084,1.98%,4.16%
Gambia,1993,GMB,9980.360037,21024.33603,506241,502118,1.97%,4.19%
Gambia,1994,GMB,10197.94195,21764.87151,519620,517214,1.96%,4.21%
Gambia,1995,GMB,10475.54965,22620.17618,533431,532789,1.96%,4.25%
Gambia,1996,GMB,10762.54482,23174.82525,547769,548941,1.96%,4.22%
Gambia,1997,GMB,11002.19683,23929.68829,562572,565599,1.96%,4.23%
Gambia,1998,GMB,11300.09255,24654.78446,578039,582901,1.95%,4.23%
Gambia,1999,GMB,11637.99857,25522.05612,594447,600970,1.96%,4.25%
Gambia,2000,GMB,11995.15215,26381.01848,611944,619910,1.96%,4.26%
Gambia,2001,GMB,12279.49978,27069.94684,630688,639799,1.95%,4.23%
Gambia,2002,GMB,12690.0037,27896.36257,650692,660659,1.95%,4.22%
Gambia,2003,GMB,13113.44612,28786.09241,671768,682415,1.95%,4.22%
Gambia,2004,GMB,13508.73808,29761.85278,693653,704928,1.95%,4.22%
Gambia,2005,GMB,13968.82518,30761.76476,716125,728090,1.95%,4.22%
Gambia,2006,GMB,14377.6576,31445.75225,739141,751880,1.95%,4.18%
Gambia,2007,GMB,14788.42264,32141.31491,762770,776337,1.94%,4.14%
Gambia,2008,GMB,15215.72821,32940.57492,787069,801509,1.93%,4.11%
Gambia,2009,GMB,15689.91368,33739.52956,812137,827420,1.93%,4.08%
Gambia,2010,GMB,16240.21384,34681.48343,838031,854116,1.94%,4.06%
Gambia,2011,GMB,16756.60245,35815.20065,864764,881605,1.94%,4.06%
Gambia,2012,GMB,17339.47905,37089.56513,892280,909842,1.94%,4.08%
Gambia,2013,GMB,17950.541,38489.04134,920531,938800,1.95%,4.10%
Gambia,2014,GMB,18554.64369,39889.40964,949443,968408,1.95%,4.12%
Gambia,2015,GMB,19230.74168,41304.91549,978959,998625,1.96%,4.14%
Gambia,2016,GMB,19885.37779,42838.69174,1009066,1029441,1.97%,4.16%
Georgia,1990,GEO,57132.42437,106286.4181,2572122,2838252,2.22%,3.74%
Georgia,1991,GEO,56751.9977,105115.5346,2554174,2816474,2.22%,3.73%
Georgia,1992,GEO,56221.0242,103480.1531,2519614,2778473,2.23%,3.72%
Georgia,1993,GEO,55383.59334,101388.1339,2474417,2730224,2.24%,3.71%
Georgia,1994,GEO,54554.74418,99462.57047,2427271,2680405,2.25%,3.71%
Georgia,1995,GEO,53756.15706,97959.99517,2384619,2635448,2.25%,3.72%
Georgia,1996,GEO,53248.91623,97296.5752,2348389,2597175,2.27%,3.75%
Georgia,1997,GEO,52982.62137,97182.52513,2317130,2564129,2.29%,3.79%
Georgia,1998,GEO,52687.32872,97395.53469,2289772,2535412,2.30%,3.84%
Georgia,1999,GEO,52542.89271,97566.66062,2264105,2509069,2.32%,3.89%
Georgia,2000,GEO,52430.8978,97859.11521,2238494,2483559,2.34%,3.94%
Georgia,2001,GEO,52224.85832,97515.31273,2213025,2459145,2.36%,3.97%
Georgia,2002,GEO,52253.67945,97124.12244,2188499,2436377,2.39%,3.99%
Georgia,2003,GEO,52377.07763,97129.82234,2164819,2414266,2.42%,4.02%
Georgia,2004,GEO,52414.19809,97265.13916,2141849,2391481,2.45%,4.07%
Georgia,2005,GEO,52448.62497,97253.39418,2119465,2367085,2.47%,4.11%
Georgia,2006,GEO,52275.93801,96337.81251,2097900,2340996,2.49%,4.12%
Georgia,2007,GEO,52153.90719,95174.88973,2077045,2313498,2.51%,4.11%
Georgia,2008,GEO,51884.01687,94134.48655,2056097,2284417,2.52%,4.12%
Georgia,2009,GEO,51697.28007,93301.93681,2033981,2253708,2.54%,4.14%
Georgia,2010,GEO,51531.89738,92162.00466,2010118,2221534,2.56%,4.15%
Georgia,2011,GEO,51079.82966,90618.85056,1983852,2187399,2.57%,4.14%
Georgia,2012,GEO,50715.2195,89572.51629,1955847,2151881,2.59%,4.16%
Georgia,2013,GEO,50233.8016,88029.43981,1928313,2117599,2.61%,4.16%
Georgia,2014,GEO,49833.66592,86906.547,1904312,2088042,2.62%,4.16%
Georgia,2015,GEO,49595.465,86071.28389,1885939,2065578,2.63%,4.17%
Georgia,2016,GEO,49526.30309,85286.01754,1874084,2051318,2.64%,4.16%
Germany,1990,DEU,1182591.162,2288938.75,38169232,40949097,3.10%,5.59%
Germany,1991,DEU,1192650.095,2291578.603,38436437,41128013,3.10%,5.57%
Germany,1992,DEU,1206851.215,2294918.974,38710538,41335612,3.12%,5.55%
Germany,1993,DEU,1218625.725,2297721.228,38973644,41546448,3.13%,5.53%
Germany,1994,DEU,1225147.499,2299726.211,39204040,41727005,3.13%,5.51%
Germany,1995,DEU,1231542.135,2297622.502,39386786,41853823,3.13%,5.49%
Germany,1996,DEU,1235222.408,2284647.989,39511727,41914622,3.13%,5.45%
Germany,1997,DEU,1236715.673,2269652.748,39583152,41916730,3.12%,5.41%
Germany,1998,DEU,1237526.887,2253943.13,39618752,41880477,3.12%,5.38%
Germany,1999,DEU,1237143.833,2234715.781,39644912,41836702,3.12%,5.34%
